,Surname,Surname Number,Awards,DBLP,Education Text,Text Vector
0,Paul Vixie,951,0,10,,
1,Klára Dán von Neumann,2179,0,55,,
2,Andy Tanenbaum,1351,0,29,"Tanenbaum was born in      New York City New York City and grew up in suburban      White Plains, New York White Plains, New York, where he attended the      White Plains High School White Plains High SchoolHe received his      Bachelor of Science Bachelor of Science degree in      physics from      Massachusetts Institute of Technology MIT in 1965 and his PhD degree in astrophysics from the      University of California, Berkeley University of California, Berkeley in 1971Tanenbaum's textbooks on computer science includeHis book, Operating SystemsHis books have been translated into many languages including Arabic, Basque, Bulgarian, Chinese, Dutch, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Macedonian, Mexican Spanish, Persian, Polish, Portuguese, Romanian, Russian, Serbian, and SpanishTanenbaum has had a number of      redirect    PhD students who themselves have gone on to become widely known computer science researchersTanenbaum has had a number of      redirect    PhD students who themselves have gone on to become widely known computer science researchersIn the early 1990s, the Dutch government began setting up a number of thematically oriented research schools that spanned multiple universitiesIn the early 1990s, the Dutch government began setting up a number of thematically oriented research schools that spanned multiple universitiesIn the early 1990s, the Dutch government began setting up a number of thematically oriented research schools that spanned multiple universitiesTanenbaum was one of the cofounders and first Dean of the Advanced School for Computing and Imaging (ASCI)Tanenbaum remained dean for 12 years, until 2005, when he was awarded an Academy Professorship by the      Royal Netherlands Academy of Arts and Sciences Royal Netherlands Academy of Arts and Sciences, at which time he became a time research professorTanenbaum remained dean for 12 years, until 2005, when he was awarded an Academy Professorship by the      Royal Netherlands Academy of Arts and Sciences Royal Netherlands Academy of Arts and Sciences, at which time he became a time research professorTanenbaum has also been involved in numerous other research projects in the areas of operating systems, distributed systems, and ubiquitous computing, often as supervisor of PhD students or a      Postdoctoral researcher postdoctoral researcherTanenbaum has also been involved in numerous other research projects in the areas of operating systems, distributed systems, and ubiquitous computing, often as supervisor of PhD students or a      Postdoctoral researcher postdoctoral researcher","[-0.02470587 -0.02080968 -0.01634846  0.587312   -0.4853198  -0.20958945
 -0.3543194  -0.05028449  0.20739138  0.19774878 -0.07834756 -0.28603372
 -0.59362245  0.0811735  -0.5582756   0.46992597 -0.30136132  0.01163078
  0.2083208   0.53897226 -0.12763198  0.14469673 -0.06783323  0.40259662
  0.23839733  0.3678883   0.7953042   0.2430175   0.2666815  -0.85955584
  0.16132878 -0.31089008  0.08841623  0.1338907  -0.19402286 -0.45502296
  0.300372   -0.34290147  0.34977886  0.423816    0.02003552 -0.65807766
 -0.38287023  0.17655277 -0.22199126  0.00733386  0.15711851  0.26101762
 -0.21718358  0.2827543   0.20957491  0.03493142  0.12086587  0.32791224
 -0.13535899 -0.07065599  0.44308    -0.1590381   0.86536646 -0.2502749
 -0.10610645  0.07858015  0.20088169 -0.17397848  0.514003    0.5872771
  0.60735154  0.48923317 -0.31585267  0.48805496 -0.37938792  0.42373952
  0.01038204 -0.49232715  0.32624644 -0.33356985 -0.01003083  0.6312842
 -0.54647493  0.27664128 -0.03921848 -0.16691706  0.04296392  0.66912854
  0.4477455   0.1422359   0.310888   -0.18869026 -0.32626233  0.00741646
 -0.40838113  0.45301184 -0.32091665  0.20766082  0.27381444  0.61888295
 -0.43849665 -0.26712966 -0.0142711   0.66327363]"
3,Paul V. Mockapetris,1752,4,38,"Mockapetris graduated from the      Boston Latin School Boston Latin School in 1966, received his bachelor's degrees in physics and electrical engineering from the      Massachusetts Institute of Technology Massachusetts Institute of Technology in 1971 and his doctorate in information and computer science from the      redirect    University of California at Irvine University of California at Irvine in 1982Mockapetris graduated from the      Boston Latin School Boston Latin School in 1966, received his bachelor's degrees in physics and electrical engineering from the      Massachusetts Institute of Technology Massachusetts Institute of Technology in 1971 and his doctorate in information and computer science from the      redirect    University of California at Irvine University of California at Irvine in 1982","[ 0.04526142  0.1340917   0.02658111  1.0362142  -0.46381176 -0.2842168
 -0.31321162  0.00955022  0.13845888  0.3430958   0.35618994 -0.76199543
 -0.33468053  0.15239996 -0.81003666  0.840586   -0.39230213  0.23420978
  0.04223002  0.41810015  0.01323253 -0.05849952 -0.11461862  0.4791639
  0.29708067  0.5258617   0.776844    0.2337452  -0.13533248  0.08199196
  0.24588925 -0.09293566  0.06326061  0.22725095 -0.48914012 -0.13519658
  0.14766999 -0.53549683  0.39605188  0.76894796  0.25171408 -1.0834913
 -0.78282094  0.4592422  -0.13283767 -0.04754853  0.30031866  0.47291932
 -0.4751668   0.5287829  -0.18341029 -0.81956506  0.1728892   0.25636756
  0.13086753 -0.19025223  0.7040738  -0.03083368  1.3506614  -0.700186
 -0.79464424 -0.28910968  0.2331384  -0.12683189  0.14513126  1.0186399
  0.72716874  0.833488   -0.6210255   1.0184085  -0.4578698   1.0149939
  0.18857479 -0.5528484  -0.1425007  -1.1135185   0.44160908  0.07578924
 -0.8018278   0.6356282  -0.5679102  -0.56056553  0.0371064   0.55629975
  0.5402938  -0.02803412  0.030308   -0.28683227 -0.39709938 -0.01381414
  0.03187747  0.73836565 -0.5975307  -0.18573767  0.12527622  0.6598765
 -0.02903794 -0.24297743  0.32647604  0.91224915]"
4,Rudolf Bayer,1151,2,75,He is professor emeritus of   ,"[-0.60824883 -0.0670187   0.84455365  0.3360435  -0.48458037 -1.0345049
 -1.0153298   0.804633   -0.16295949 -0.46700725  0.4311215  -0.3391963
 -0.54766935  0.47160596 -0.7359255   0.33255517 -0.49177065 -0.938546
  1.1441959   0.7721151  -0.3144583   0.6068115   0.16722888  0.23612852
  0.60187864 -0.15771322  1.3739369  -0.47215432  0.28853032  0.08040547
 -0.0251331  -0.32283774  0.3117914   0.91499424  1.0597196   0.9386775
 -0.1826039  -0.22360341  0.08620205  0.60546654 -0.07848783 -0.30748618
 -0.9295325   0.21800676 -0.89980334 -0.6456125   1.3322154  -0.17819491
 -0.4259332  -0.24285504  0.5413521  -0.0260511  -1.1435537   0.6538884
 -0.6591236   0.2616941   0.5174976   0.06402151  0.9569832   0.06956419
 -0.2642858   0.50510967 -0.60392904 -0.7221626   0.5907661   1.5290005
  0.65980005 -0.31496167  0.20089126  0.32158834 -0.39713496  0.05199485
 -0.43140978 -0.5035514   0.20068185 -1.0500591   1.088856   -0.7322055
 -0.9236101   0.7501833  -0.35507137  0.3817039   0.45165825  1.274902
 -0.21341746  1.1384522   0.29343694  0.17110008  0.19289777  0.8695955
  0.05471049  1.0448967  -0.5384865  -0.19062026 -0.42228127  0.44108734
  0.40210193 -0.6513082   0.355287    0.735086  ]"
5,Shaku Atre,936,0,93,,
6,Ivan Edward Sutherland,2111,8,10,"From 1965 to 1968, Sutherland was an associate professor of electrical engineering at      Harvard University Harvard UniversityFrom 1965 to 1968, Sutherland was an associate professor of electrical engineering at      Harvard University Harvard UniversityFrom 1968 to 1974, Sutherland was a professor at the      University of Utah University of UtahFrom 1968 to 1974, Sutherland was a professor at the      University of Utah University of Utah","[-0.72052604  0.11851127 -0.02139959  1.1802968  -0.7368622  -0.35782433
  0.01519879  0.38170403  0.2584083  -0.23015228  0.43856162 -1.0438863
 -0.13834909  0.31832808 -0.5328562   0.617759   -0.04536602 -0.06848755
  0.11676969  0.42614815  0.18577744  0.08699113 -0.20793265  0.54577833
  0.20975739  0.07603751  0.7787216  -0.20506513  0.3063637   0.22388811
  0.01630974 -0.02175367  0.25501344  0.09550772 -0.02800041  0.4617046
 -0.23892002 -0.53800786  0.24835187  0.63922954  0.37993732 -0.50852525
 -0.35982263  0.2673896  -0.85180086 -0.3601766   0.31260434  0.21615377
 -0.88440955  0.6223658  -0.29372263 -0.97702324 -0.05825394  0.13865319
  0.29462752 -0.11142104  0.3556229  -0.5182903   1.062238   -0.7992608
 -0.72396636 -0.13822001 -0.09989266 -0.49299517 -0.05603913  1.8672001
  0.46367732  0.68587303 -0.54821754  0.5175685  -0.6467642   0.8865982
  0.34874767 -0.65057445 -0.01870205 -1.204611    0.80008894 -0.15026765
 -0.9765029   0.9637843  -0.46620238 -0.37145805  0.49783188  1.215282
  0.4491002   0.45145977  0.14394695 -0.61237395 -0.5055827   0.4324038
  0.06575979  1.0870786  -0.67916465 -0.48098296 -0.10590304  1.1556485
  0.28777868 -0.43124223  0.17890316  1.0459446 ]"
7,Dan Ingalls,1021,5,74,"Ingalls' first well known research was at   Ingalls returned to Silicon Valley in 1995, first working at      Interval Research Corporation Interval Research Corporation, and then returned to AppleIngalls then worked as a Distinguished      Engineer at      Sun Microsystems Sun Microsystems, where he worked in the      redirect    Sun Microsystems Laboratories Sun Microsystems Laboratories (Sun Labs) research wingIngalls  moved to      redirect    SAP SE SAP SE Palo Alto Research Center, as a      fellow","[-1.0087994e-01 -5.9643909e-03  1.4131029e-01  8.4647691e-01
 -7.3656720e-01  1.5851317e-01 -4.4593430e-01 -5.0758427e-01
  2.7998856e-01  7.8592673e-03  1.4167386e-01 -4.8432875e-01
  1.5896633e-01 -1.3615121e-01 -3.0839536e-01 -2.8764543e-01
  4.6300806e-02 -6.6378891e-01 -2.4830643e-04  2.6128420e-01
 -4.3101843e-02  3.1525052e-01 -4.2447492e-02  6.2559783e-01
  2.0683804e-01  2.1281934e-01  3.0031291e-01 -1.3725088e-02
  3.0548641e-01 -1.6132900e-03  3.6220267e-01 -2.6111710e-01
  3.3674178e-01 -1.2544279e-01 -6.1334258e-01  6.7887470e-02
  1.3872540e-01 -7.7567536e-01  2.9380161e-01  2.6988640e-01
  3.5126254e-01 -6.3410676e-01 -4.8567989e-01  1.0237625e-01
 -2.9473132e-01  2.7140418e-01 -6.7129768e-02 -1.7962929e-02
 -5.2180499e-01  2.4534695e-01 -4.2539868e-01 -1.4828849e-01
  1.1076671e-01  2.8829077e-01  3.0119428e-01  3.7154973e-01
 -1.0389583e-01 -1.5629892e-01  9.4091380e-01 -1.9145469e-01
  1.7999591e-01  2.2248325e-01 -2.0079017e-01  8.3274037e-02
  3.7594859e-02  7.9771399e-01  2.7448701e-02  6.9186765e-01
 -2.6871967e-01  6.6818041e-01 -3.2363045e-01  3.6540729e-01
  1.9178972e-01 -5.6160253e-01  4.1080937e-01 -2.7793613e-01
  3.5102826e-01  2.7216825e-01 -7.8541213e-01  3.3026311e-01
 -2.2117051e-01 -4.5476359e-01  1.4014314e-01  9.3041390e-01
  1.6727942e-01 -2.2797793e-01 -5.9969324e-01 -7.4157715e-02
  2.3983060e-01  5.4999244e-01 -5.2910155e-01  1.9709501e-01
 -6.4864385e-01 -3.0576622e-01  3.6285061e-01  3.5485306e-01
 -3.5449862e-01 -9.3752556e-02  1.0811968e-02  7.3222011e-01]"
8,Kurt Gödel,1080,3,53,"Attending a lecture by      David Hilbert David Hilbert in      Bologna on completeness and consistency in mathematical systems may have set GHe studied and admired the works of      redirect    Gottfried Leibniz Gottfried Leibniz, but came to believe that a hostile conspiracy had caused some of Leibniz's works to be suppressed Douglas Hofstadter Douglas Hofstadter wrote the 1979 book span   language text i lang","[-0.16495359 -0.39666748 -0.01048876  0.00885495 -0.27187037  0.13025872
 -0.10115139  0.13137035 -0.14615709  0.52129537  0.05612088 -0.28230095
 -0.48636392 -0.28970563  0.03335957  0.35608977 -0.34387106 -0.17243497
  0.51618636  0.60126764 -0.46694043 -0.10983407 -0.21213153  0.4477882
  0.5030424   0.06132996  0.83672404 -0.24063505  0.3016943  -0.3345732
 -0.01750542 -0.19226377 -0.06031712 -0.5825859  -0.13330184  0.05893443
  0.10804253 -0.07517894  0.3111548  -0.01243443 -0.21886511 -0.85164434
  0.45742297  0.05854682 -0.00549662 -0.03413649 -0.23639737 -0.32117572
 -0.25963664 -0.16524231  0.56004256 -0.0468083  -0.5646522   0.09165113
  0.16765767  0.12349747  0.04945165  0.01941564  0.44623068 -0.37215585
  0.13440844  0.23198847  0.10442174  0.10680617  0.6506833   0.32256702
  0.00667585  0.32255805  0.22835211  0.5835278  -0.3656193   0.3431045
 -0.00763497  0.04243938  0.29389924 -0.3176424   0.28570405  0.37124667
 -0.37542346  0.3783808   0.34210482 -0.19512239 -0.33481824  0.38482603
  0.15358216  0.62616354  0.30897588  0.19653134  0.0803782  -0.25499758
 -0.8355017   0.22692506 -0.35037678 -0.14830458 -0.16320162  0.4368288
  0.01780756 -0.23220035  0.11517401  0.00998505]"
9,Nadia Magnenat Thalmann,2171,0,7,"Nadia Magnenat Thalmann is a      Computer graphics computer graphics scientist and robotician and is the founder and head of MIRALab at the      University of Geneva University of GenevaThalmann received an MS in Psychology, an MS in Biology and a Master in Biochemistry at the University of GenevaThalmann has made numerous research contributions in the general area of computer graphics and is best known for her work on simulating realistic virtual humans","[-0.19131993 -0.26062775  0.20627241  0.544588   -0.3256111  -0.37069124
 -0.19281864 -0.1974094   0.06012848  0.09998285  0.1492328  -0.5136068
 -0.37218153 -0.33268163 -0.9665605   0.5496383  -0.05846293 -0.26723272
 -0.07901319  0.31019312 -0.3624269   0.02413707 -0.09609853  0.14846398
  0.0394242   0.04162506  1.1025255  -0.17811005  0.13961007 -0.3559024
  0.42252982 -0.32236084  0.14811464 -0.00141969 -0.06999107 -0.28838712
  0.01226387 -0.51680195  0.43551835  0.41964906  0.21870849 -0.98124963
 -0.02435695  0.5244599   0.01734347 -0.11793945  0.26424608  0.4442405
 -0.6112882   0.27843738 -0.05303045 -0.0264885   0.27436575  0.35721418
  0.24188165 -0.03828504  0.27899298 -0.44444463  0.65183395 -0.34326047
 -0.30276996 -0.13593404  0.06195957 -0.04967153  0.47298563  1.1016053
  0.30839312  0.32098565  0.00759925  0.5170205  -0.488653    0.5342915
 -0.06227326 -0.04630426  0.4612635  -0.52674896  0.3154396   0.73923475
 -0.737616    0.2632576   0.02464199 -0.0177575   0.04147014  0.6944368
  0.04315941  0.0156142  -0.2561303   0.23833308 -0.18539533  0.09978405
 -0.5355806   0.6252948  -0.40891373 -0.04741631  0.04043739  0.81647897
  0.14962696 -0.2283224   0.28514802  0.6551681 ]"
